track_id,track_name,artist_names,popularity,duration_ms,explicit,album,release_date,uri,genre
0MULbk6JroKmnLPRwpj4m2,Muy Maniaco de Mi Parte,Fobia,35,233093,False,Rosa Venus,2005-08-23,spotify:track:0MULbk6JroKmnLPRwpj4m2,"latin alternative, latin rock, mexican rock, rock en espanol"
6ySWtyMprBb1YX8WAAuFBs,Mil Horas,Los Abuelos De La Nada,3,168344,False,1982-1987 - Himnos Del Corazón,1999-01-01,spotify:track:6ySWtyMprBb1YX8WAAuFBs,"argentine rock, post-punk argentina, ska argentino"
0iFlO6zAJQf5tAwScQXWOx,Amanece,Caifanes,51,193760,False,Caifanes,1988-05-15,spotify:track:0iFlO6zAJQf5tAwScQXWOx,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
6P9iLOJ9FwBe6S9xrdp5jK,Cuéntame Tu Vida,Caifanes,57,263333,False,Caifanes,1988-05-15,spotify:track:6P9iLOJ9FwBe6S9xrdp5jK,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
03JOvKukhn5U5TDtXB0kJv,Nunca Me Voy a Transformar En Ti,Caifanes,45,185800,False,Caifanes,1988-05-15,spotify:track:03JOvKukhn5U5TDtXB0kJv,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
5nzEilkVhvnCD0xpW3raTy,No Dejes Que...,Caifanes,73,279160,False,El Silencio,1992-06-08,spotify:track:5nzEilkVhvnCD0xpW3raTy,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
7w4ojcH8NJ4LBmJZhSBTcT,Nubes,Caifanes,66,274000,False,El Silencio,1992-06-08,spotify:track:7w4ojcH8NJ4LBmJZhSBTcT,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
3M1H1CWjrSq7nxABHc8EXv,Lobo-hombre en París,La Unión,71,233266,False,Grandes Exitos,2000-06-30,spotify:track:3M1H1CWjrSq7nxABHc8EXv,"cantautor, latin alternative, latin rock, mexican rock, rock en espanol, spanish new wave, spanish pop"
6hFHsQWB7HdVrSe7efRR82,Como te extraño mi amor,Café Tacvba,70,214880,False,Avalancha de éxitos,1996-10-25,spotify:track:6hFHsQWB7HdVrSe7efRR82,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol"
2ype6DLvWvW3NdSzDi8Dk2,Detrás de los Cerros,Jaguares,54,238360,False,El Equilibrio De Los Jaguares,1996-09-13,spotify:track:2ype6DLvWvW3NdSzDi8Dk2,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol"
5ovYwJmYcFvSvn6nRQOPyL,Pachuco,Maldita Vecindad Y Los Hijos Del 5to. Patio,64,194200,False,El Circo,1991-08-13,spotify:track:5ovYwJmYcFvSvn6nRQOPyL,"latin alternative, latin rock, mexican pop, mexican rock, rock en espanol, ska mexicano"
4HTQcxErjqv1Up3ZOoJ1di,Las batallas,Café Tacvba,58,205026,False,Café Tacvba,1992-07-13,spotify:track:4HTQcxErjqv1Up3ZOoJ1di,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol"
17ASXCVH7zxBHC8P1dThon,Pobre de Ti,Tijuana No!,59,282120,False,Rock En Español - Lo Mejor De Tijuana No!,2001-05-25,spotify:track:17ASXCVH7zxBHC8P1dThon,"blues mexicano, latin alternative, mexican rock, rock en espanol, rock urbano mexicano, ska mexicano"
2DrPEegrGI8YxQlkWMO5vK,Heridos,Caifanes,47,278690,False,Heridos,2019-03-08,spotify:track:2DrPEegrGI8YxQlkWMO5vK,"latin alternative, latin pop, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano"
0zCOT028cU3DeCqN1G18wE,Amargo Adiós,Inspector,74,228426,False,Alma En Fuego,2002-07-30,spotify:track:0zCOT028cU3DeCqN1G18wE,"latin alternative, latin rock, mexican rock, rock en espanol, ska mexicano"
4J22WG9YKnsVJA4470wOUz,Sombras En El Frio,Inspector,32,153946,False,Alma En Fuego,2002-07-30,spotify:track:4J22WG9YKnsVJA4470wOUz,"latin alternative, latin rock, mexican rock, rock en espanol, ska mexicano"
7yrSnNvJWt2Yl2WXIMQItd,Abre Los Ojos,Zurdok,11,217173,False,Serie Millennium Rock Latino 2,1999-01-01,spotify:track:7yrSnNvJWt2Yl2WXIMQItd,No Genre
7y8UFkYgOei3yc3EG3u8BX,No Me Hables de sufrir,Los Bunkers,48,234640,False,Grandes Exitos,2013-05-13,spotify:track:7y8UFkYgOei3yc3EG3u8BX,"chilean rock, concepcion indie, latin alternative, latin rock, rock en espanol"
1ToDgrH9HTOkxRD6irXDD4,Si Estás Pensando Mal de Mí,Los Bunkers,60,266546,False,La Velocidad de la Luz,2013,spotify:track:1ToDgrH9HTOkxRD6irXDD4,"chilean rock, concepcion indie, latin alternative, latin rock, rock en espanol"
5EfHXTq8UPCFyPDvCNIKMm,Kumbala,Maldita Vecindad Y Los Hijos Del 5to. Patio,70,267226,False,El Circo,1991-08-13,spotify:track:5EfHXTq8UPCFyPDvCNIKMm,"latin alternative, latin rock, mexican pop, mexican rock, rock en espanol, ska mexicano"
6MaTImJcG82qYwx6fJkm84,Morenaza,Maldita Vecindad Y Los Hijos Del 5to. Patio,50,305213,False,Maldita Vecindad y los Hijos del Quinto Patio,1989-10-26,spotify:track:6MaTImJcG82qYwx6fJkm84,"latin alternative, latin rock, mexican pop, mexican rock, rock en espanol, ska mexicano"
2bQn1ATsEIWwswbsPpOrp9,Llueve Sobre La Ciudad,Los Bunkers,0,236426,False,Vida de Perros,2007-03-21,spotify:track:2bQn1ATsEIWwswbsPpOrp9,"chilean rock, concepcion indie, latin alternative, latin rock, rock en espanol"
3UgduSS2bCMmatRox69u3g,Mi Historia Entre Tus Dedos - Remastered 2020,Gianluca Grignani,74,308880,False,Destino Paraiso - 25th Anniversary Edition (Remastered),1995,spotify:track:3UgduSS2bCMmatRox69u3g,"classic italian pop, italian adult pop, mexican pop"
78DVpEWwmJFC25KGz8fJuE,Clavado en Un Bar,Maná,76,310813,False,Sueños Líquidos,1997,spotify:track:78DVpEWwmJFC25KGz8fJuE,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
0NfdbvWFwlVMA183QibxCB,Me Vale,Maná,65,271320,False,¿Dónde Jugarán Los Niños?,1992,spotify:track:0NfdbvWFwlVMA183QibxCB,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
1bBAdiS3gPVB3qQKTf20q8,Buscándola,Maná,54,245600,False,Falta Amor,1990-07-02,spotify:track:1bBAdiS3gPVB3qQKTf20q8,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
7HyXcqyhKbL1cpGhvqbvBD,Te Llevaré al Cielo,Maná,51,287933,False,Te llevaré al cielo...,2003-11-18,spotify:track:7HyXcqyhKbL1cpGhvqbvBD,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
7MaBjaWEESQH7u0prh8EM9,Tú Tienes Lo Que Quiero,Maná,51,279266,False,Sueños Líquidos,1997,spotify:track:7MaBjaWEESQH7u0prh8EM9,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
1A7KzKilAbUieIhQMtLWkY,Lluvia Al Corazón,Maná,53,248946,False,Drama Y Luz,2011-04-11,spotify:track:1A7KzKilAbUieIhQMtLWkY,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
7rudLEwQiObqzLE0OXYbCK,Como Un Perro Enloquecido,Maná,52,264333,False,Cuando Los Ángeles Lloran,1995-04-24,spotify:track:7rudLEwQiObqzLE0OXYbCK,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
57yEbqu0L6Dq614Vv5hHHL,Mi Reina Del Dolor,Maná,50,246186,False,Drama Y Luz,2011-04-11,spotify:track:57yEbqu0L6Dq614Vv5hHHL,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
4PYPNe0MkjWcMZOjfWQvUd,Arde El Cielo,Maná,49,273546,False,Arde El Cielo,2008-04-25,spotify:track:4PYPNe0MkjWcMZOjfWQvUd,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
2zLLGT8WWT1dl73TlVL9qs,Mariposa Traicionera - 2020 Remasterizado,Maná,70,262925,False,Revolución De Amor (2020 Remasterizado),2002,spotify:track:2zLLGT8WWT1dl73TlVL9qs,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
7mUCQAVsqqdZvOsSq4kGEy,De Pies a Cabeza,Maná,64,276226,False,¿Dónde Jugarán Los Niños?,1992,spotify:track:7mUCQAVsqqdZvOsSq4kGEy,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
4C2zOFgrXxfNGNpYQWIcaH,Labios Compartidos,Maná,70,317626,False,Amar Es Combatir,2006-08-18,spotify:track:4C2zOFgrXxfNGNpYQWIcaH,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
1cDJScbHkk73wfYQv4ZFY9,Cómo Diablos,Maná,59,235466,False,¿Dónde Jugarán Los Niños?,1992,spotify:track:1cDJScbHkk73wfYQv4ZFY9,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
33J0xfFaRZO6RzHVdbQkiO,Manda Una Señal,Maná,64,281880,False,Amar es Combatir,2006-08-22,spotify:track:33J0xfFaRZO6RzHVdbQkiO,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
1idGOi06xP8RGvdiQdFZHP,Hasta Que Te Conocí,Maná,60,296426,False,Exiliados En La Bahía: Lo Mejor De Maná (Edición Deluxe),2012-08-24,spotify:track:1idGOi06xP8RGvdiQdFZHP,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
4rJdaSwOCHLBhxdMsymeMw,Entre dos tierras,Heroes Del Silencio,64,368320,False,Senderos De Traición,1990,spotify:track:4rJdaSwOCHLBhxdMsymeMw,"latin alternative, latin rock, musica aragonesa, rock en espanol, spanish rock"
11dn3mAagE0hOvd35rBNeV,Triste canción,El Tri,67,342520,False,Simplemente,1987-06-10,spotify:track:11dn3mAagE0hOvd35rBNeV,"latin alternative, latin rock, mexican rock, rock en espanol, rock urbano mexicano"
3UIENhLRdFIOuRan92cAQu,En algún lugar,Duncan Dhu,74,235626,False,El Grito Del Tiempo,1987-01-17,spotify:track:3UIENhLRdFIOuRan92cAQu,"cantautor, latin alternative, latin rock, mexican rock, rock en espanol, spanish new wave, spanish pop"
2VSEFU8trVjeDOimate9jA,Es Por Tí,Los Romanticos de Zacatecas,0,143174,False,Fiestón Loco Y Everybody,2014-02-20,spotify:track:2VSEFU8trVjeDOimate9jA,"indie rock mexicano, latin alternative, mexican indie, mexican rock"
