track_id,track_name,artist_names,popularity,duration_ms,explicit,album,release_date,uri,genre
2hjQWuAy9fsSykGerWU8Wi,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,47,230413,False,The Essential Survivor,2014-10-24,spotify:track:2hjQWuAy9fsSykGerWU8Wi,"album rock, glam metal, hard rock, soft rock"
719muV16yNGh6AxmCeMby1,Rock Bottom - 2007 Remaster,UFO,53,389333,False,Phenomenon (2007 Remaster),1974-01-01,spotify:track:719muV16yNGh6AxmCeMby1,"album rock, glam metal, hard rock, metal, progressive rock"
1WIZiOuNO3woKfdlSK2gNn,Transportin',Kodak Black,74,169344,True,Project Baby 2: All Grown Up,2017-08-18,spotify:track:1WIZiOuNO3woKfdlSK2gNn,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino"
4s6vwFgPdCtidpEw8KuQT6,REPEAT IT (with Gunna),"Lil Tecca, Gunna",59,190344,True,We Love You Tecca 2,2021-08-27,spotify:track:4s6vwFgPdCtidpEw8KuQT6,"melodic rap, pluggnb, rap"
7o2Vk2ozntHju6LqFsXMjc,Weather Strike,"Tom Morello, Pussy Riot",27,211026,True,Weather Strike,2021-04-30,spotify:track:7o2Vk2ozntHju6LqFsXMjc,modern alternative rock
2acCrpnHeM7XlylIU0Xczd,Intergalactic Icons,"Logic, Conway the Machine, Riff Raff",47,212062,True,Intergalactic Icons,2023-12-15,spotify:track:2acCrpnHeM7XlylIU0Xczd,"conscious hip hop, hip hop, pop rap, rap"
6C7ZgThn6Yan5MTZdAEEFw,Mama Said Knock You Out,LL COOL J,63,289693,True,Mama Said Knock You Out,1990-08-27,spotify:track:6C7ZgThn6Yan5MTZdAEEFw,"east coast hip hop, golden age hip hop, hip hop, old school hip hop, queens hip hop, rap"
4EjbAh7YHU3VARkfkamZ8R,The Pale Moonlight,Kid Cudi,48,176293,True,Man On The Moon III: The Chosen,2020-12-11,spotify:track:4EjbAh7YHU3VARkfkamZ8R,"hip hop, ohio hip hop, pop rap, rap"
5NnaDqigmS0gw970okC3dR,There is Nothing New Under the Sun,Slomosa,37,237574,False,Slomosa,2020-08-28,spotify:track:5NnaDqigmS0gw970okC3dR,"norwegian prog, norwegian rock"
4Zjdzxx0dsavsr7Ehr8fGE,Prospect (ft. Lil Baby),"iann dior, Lil Baby",2,226313,True,Prospect (feat. Lil Baby),2020-05-22,spotify:track:4Zjdzxx0dsavsr7Ehr8fGE,melodic rap
2zFeidZdxQprVl4Zzjj7Rv,Chinga Tu Madre,Molotov,43,198626,True,Donde Jugaran Las Niñas,1997-01-01,spotify:track:2zFeidZdxQprVl4Zzjj7Rv,"latin alternative, latin hip hop, latin rock, mexican hip hop, mexican rock, rock en espanol"
