artists_names,track_name,track_id,popularity,year,genre,duration_ms,decade
Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,acoustic,240166,2010
David Ramirez,Find the Light,7jhcBzFm4W2UpFPa9fZFlR,31,2012,acoustic,197253,2010
Jon Bryant,Evening Sun,23FJw5F8nipFrzkZviz5vQ,29,2012,acoustic,214703,2010
Boyce Avenue,Airplanes,0majnowXPs9y7KjlGcucyP,35,2012,acoustic,175883,2010
Boyce Avenue,Teenage Dream,65MVsQOcfdeFbFRUYdfFq5,44,2012,acoustic,242107,2010
Steve Petrunak,Angels We Have Heard on High,4zUrEicnZk7cXYcntIX12b,28,2012,acoustic,203853,2010
Tristan Prettyman,Say Anything,1RjEDlhTp2iJXWPdLpa8OM,45,2012,acoustic,236379,2010
Boyce Avenue,Firework,50yShdGMlkCQKPKl9lr8pG,37,2012,acoustic,285737,2010
Boyce Avenue,We Are Young,0WjTnatR8L132K6jckMsLD,38,2012,acoustic,237687,2010
Mark Lanegan,The Gravedigger's Song,0U7I0dlEa9rzyTTQLZOJCn,35,2012,acoustic,223107,2010
