artists_names,track_name,track_id,popularity,year,genre,duration_ms,decade
Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,acoustic,240166,2010
Sara Bareilles,Stay,24xqELXbmKDFLKkR3271jb,37,2012,acoustic,262613,2010
Jason Mraz,Be Honest (feat. Inara George),5T0N6xybJyZq34R1807OTt,36,2012,acoustic,205000,2010
Eric Hutchinson,Watching You Watch Him,7j6t0kr66wFLkBjjKxh5FJ,36,2012,acoustic,211027,2010
Boyce Avenue,Just the Way You Are,2FSkBDGsqZIxcsnKNgtMLx,53,2012,acoustic,239573,2010
Joshua Hyslop,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57,2012,acoustic,158960,2010
David Gray,Money (That's What I Want) - From Jim Beam's Live Music Series,38sSJ12azM6Mic7ajbHKBi,45,2012,acoustic,234270,2010
Ichiko Aoba,hikari no furusato,7c59LJZv6klezUN3jRCXE6,35,2012,acoustic,192147,2010
AJJ,Black Dog,279Iabhr2afcc93hAc1YZ8,33,2012,acoustic,82027,2010
Jason Mraz,The World as I See It,2ORU4XRGqFjPB2mTft0VPj,32,2012,acoustic,239156,2010
Ann Sally,Mother's Song,3pkVDKAPIhrpsAR79fa05P,30,2012,acoustic,310640,2010
Gabrielle Aplin,Home,20kpTTSvI4ok6Gm1uZqtcz,57,2012,acoustic,247002,2010
Jason Mraz,The Freedom Song,7hevpquSrhFLsEUzbDFrWB,33,2012,acoustic,239987,2010
Boyce Avenue,Teenage Dream,65MVsQOcfdeFbFRUYdfFq5,44,2012,acoustic,242107,2010
Boyce Avenue,Fast Car,63wsZUhUZLlh1OsyrZq7sz,58,2012,acoustic,304293,2010
